replicon_primary,n_PSC,S_ARG,S_VF,S_MOB,S_HOST,S_REP,S_SIZE,S_BMG,S_GEO,S_HAB,S_GROW
rep9b,228,0.0000,0.0000,0.0955,0.5200,0.3000,0.6240,0.0000,0.0000,0.0000,0.0000
IncFII(pECLA),227,0.0000,0.0000,0.1099,0.8000,0.9000,0.6258,0.2900,0.0000,0.0000,0.1402
rep20/repUS70,227,0.0000,0.0000,0.4354,0.5200,0.3000,0.6333,0.4800,0.0000,0.0000,0.0000
pEC4115,221,0.0000,0.0000,0.0740,0.7200,0.3000,0.6922,0.0000,0.0000,0.0000,0.0000
rep5b,219,0.0000,0.0000,0.4200,0.5200,0.3000,0.5886,0.2900,0.0000,0.0000,0.0000
IncN2,218,0.0000,0.0000,0.5950,0.7600,0.9000,0.6864,0.2900,0.0000,0.0000,0.0000
Col8282,204,0.0000,0.0000,0.0757,0.7600,0.3000,0.5537,0.0000,0.0000,0.0000,0.0000
IncHI2A,203,0.0000,0.0000,0.0748,0.7600,0.9000,0.6651,0.0000,0.0000,0.0000,0.0000
IncHI2/IncHI2A,203,0.0000,0.0000,0.0744,0.7200,0.9000,0.6842,0.0000,0.0000,0.0000,0.0000
rep28,203,0.0000,0.0000,0.0700,0.4800,0.3000,0.6011,0.0000,0.0000,0.0000,0.0000
IncFIB(pHCM2),201,0.0000,0.0000,0.0786,0.7600,0.9000,0.6378,0.0000,0.2277,0.0833,0.1402
rep18a,200,0.0000,0.0000,0.4200,0.8000,0.3000,0.5972,0.0000,0.0000,0.0000,0.0000
pXuzhou21,187,0.0000,0.0000,0.0700,0.7600,0.3000,0.6994,0.0000,0.0000,0.0000,0.0000
IncFIB(Mar),184,0.0000,0.0000,0.0854,0.8000,0.9000,0.6362,0.0000,0.2277,0.1667,0.2240
ColE10,181,0.0000,0.0000,0.4200,0.7200,0.3000,0.6054,0.0000,0.0000,0.0000,0.0000
rep9a,180,0.0000,0.0000,0.0815,0.5200,0.3000,0.6368,0.0000,0.0000,0.0000,0.0000
Col3M,174,0.7486,0.0000,0.0700,0.7600,0.3000,0.5254,0.0000,0.0000,0.0000,0.0000
rep24a,174,0.0000,0.0000,0.0742,0.8000,0.3000,0.6958,0.0000,0.0000,0.0000,0.0000
IncHI1B(CIT),170,0.0000,0.0000,0.1024,0.7200,0.9000,0.5806,0.0000,0.0000,0.0000,0.0000
pSL483,158,0.0000,0.0000,0.0700,0.7600,0.3000,0.6996,0.0000,0.0000,0.0000,0.0000
IncP6,156,0.6913,0.0000,0.4353,0.7600,0.9000,0.6418,0.3300,0.0000,0.0000,0.0000
repUS76,155,0.0000,0.0000,0.0882,0.5200,0.3000,0.6464,0.0000,0.0000,0.0000,0.0000
rep38,154,0.0000,0.0000,0.1391,0.4800,0.3000,0.5980,0.0000,0.0000,0.0000,0.0000
IncFIB(pECLA),151,0.0000,0.0000,0.0873,0.8000,0.9000,0.6494,0.2900,0.0000,0.0000,0.0000
rep9c,149,0.0000,0.0000,0.0897,0.5200,0.3000,0.6301,0.0000,0.2277,0.0833,0.1402
repUS1,142,0.0000,0.0000,0.0926,0.8000,0.3000,0.6149,0.0000,0.0000,0.0000,0.1402
repUS25,142,0.0000,0.0000,0.0761,0.5200,0.3000,0.6924,0.0000,0.0000,0.0833,0.1402
Col(MP18),138,0.0000,0.0000,0.0700,0.7600,0.3000,0.5319,0.0000,0.2277,0.0833,0.1402
rep36,133,0.0000,0.0000,0.0700,0.5200,0.3000,0.5305,0.0000,0.0000,0.0000,0.0000
repUS12,131,0.4362,0.0000,0.4200,0.8000,0.3000,0.5795,0.0000,0.0000,0.0000,0.0000
IncX2,131,0.5241,0.0000,0.4320,0.7600,0.3000,0.6841,0.3700,0.0000,0.0000,0.0000
rep16/repUS5,126,0.0000,0.0000,0.0946,0.8000,0.3000,0.6705,0.3300,0.0000,0.0000,0.0000
repUS23/repUS46,116,0.4362,0.0000,0.0950,0.5200,0.3000,0.6649,0.6400,0.0000,0.0000,0.0000
IncFIB(pKPHS1),114,0.0000,0.0000,0.0700,0.8000,0.9000,0.6324,0.0000,0.3608,0.1667,0.2843
