id,replicon_primary,S_ARG,S_VF,S_MOB,S_HOST,S_REP,S_SIZE,S_BMG,S_GEO,S_HAB,S_GROW
99,,0.000000,0.330000,0.075641,0.540000,0.300000,0.722124,0.290000,0.360849,0.083333,0.331538
100,,0.000000,0.000000,0.370000,0.520000,0.300000,0.462219,0.600000,0.000000,0.000000,0.000000
101,,0.000000,0.000000,0.370000,0.520000,0.300000,0.472636,0.600000,0.227670,0.083333,0.140165
102,,0.000000,0.000000,0.370000,0.520000,0.300000,0.473223,0.600000,0.360849,0.166667,0.223984
103,,0.000000,0.000000,0.370000,0.520000,0.300000,0.466876,0.600000,0.000000,0.000000,0.000000
104,,0.000000,0.000000,0.421734,0.800000,0.300000,0.754416,0.000000,0.000000,0.000000,0.000000
105,,0.691284,0.000000,0.075444,0.520000,0.300000,0.724474,0.000000,0.227670,0.083333,0.458090
106,,1.000000,0.000000,0.175654,0.800000,0.300000,0.755803,0.750000,0.528634,0.083333,0.403640
107,,1.000000,0.000000,0.095726,0.760000,0.300000,0.777462,0.750000,0.227670,0.083333,0.000000
108,,0.872303,0.000000,0.433756,0.760000,0.300000,0.776092,0.900000,0.227670,0.000000,0.140165
109,,1.000000,0.000000,0.685941,0.760000,0.300000,0.759293,0.680000,0.000000,0.000000,0.140165
110,,0.000000,0.000000,0.427111,0.480000,0.300000,0.733661,0.000000,0.000000,0.083333,0.223984
111,,0.436151,0.000000,0.075481,0.760000,0.300000,0.724026,0.290000,0.000000,0.000000,0.000000
112,,0.436151,0.000000,0.076271,0.760000,0.300000,0.715090,0.290000,0.227670,0.083333,0.000000
113,,0.691284,0.000000,0.075994,0.760000,0.300000,0.718089,0.290000,0.360849,0.166667,0.284318
114,,0.691284,0.000000,0.598114,0.760000,0.300000,0.715541,0.290000,0.816189,0.583333,1.000000
115,,0.691284,0.000000,0.598137,0.760000,0.300000,0.715056,0.290000,0.683011,0.416667,0.611119
116,,0.691284,0.000000,0.595000,0.760000,0.300000,0.713447,0.290000,0.455340,0.250000,0.403640
117,,0.436151,0.000000,0.601665,0.760000,0.300000,0.711051,0.000000,0.227670,0.166667,0.000000
118,,0.436151,0.000000,0.598381,0.760000,0.300000,0.710085,0.290000,0.360849,0.250000,0.370481
119,,0.691284,0.330000,0.598037,0.780000,0.300000,0.717217,0.290000,0.639151,0.500000,0.792820
120,,0.691284,0.000000,0.598390,0.760000,0.300000,0.709924,0.290000,0.360849,0.500000,1.000000
121,,0.436151,0.000000,0.598643,0.760000,0.300000,0.705133,0.290000,0.360849,0.083333,0.140165
122,,0.691284,0.000000,0.077671,0.760000,0.300000,0.701720,0.290000,0.360849,0.250000,0.000000
123,,0.691284,0.000000,0.598202,0.760000,0.300000,0.713711,0.290000,0.227670,0.250000,0.331538
124,,0.436151,0.330000,0.601923,0.780000,0.300000,0.708530,0.290000,0.360849,0.250000,0.284318
125,,0.691284,0.000000,0.598164,0.760000,0.300000,0.714488,0.290000,0.639151,0.416667,0.584842
126,,0.691284,0.000000,0.618838,0.760000,0.300000,0.699384,0.290000,0.588519,0.416667,0.521067
127,,0.691284,0.000000,0.601473,0.760000,0.300000,0.712987,0.290000,0.360849,0.333333,0.748492
128,,0.691284,0.000000,0.598294,0.760000,0.300000,0.711825,0.290000,0.528634,0.500000,0.666268
129,,0.436151,0.000000,0.598283,0.760000,0.300000,0.712041,0.290000,0.000000,0.000000,0.000000
130,,0.436151,0.000000,0.075481,0.760000,0.300000,0.724026,0.290000,0.000000,0.000000,0.000000
131,,0.436151,0.000000,0.423222,0.760000,0.300000,0.713282,0.290000,0.227670,0.250000,0.432461
132,,0.691284,0.000000,0.598885,0.760000,0.300000,0.700878,0.290000,0.639151,0.500000,0.538768
133,,0.436151,0.000000,0.599541,0.760000,0.300000,0.690519,0.290000,0.360849,0.500000,0.458090
134,,0.436151,0.000000,0.598150,0.760000,0.300000,0.714795,0.290000,0.000000,0.000000,0.000000
135,,0.691284,0.000000,0.598191,0.760000,0.300000,0.713927,0.290000,0.227670,0.333333,0.403640
136,,0.436151,0.000000,0.076018,0.760000,0.300000,0.717828,0.290000,0.227670,0.083333,0.000000
137,,0.436151,0.000000,0.076283,0.760000,0.300000,0.714967,0.290000,0.227670,0.083333,0.140165
138,,0.691284,0.000000,0.598352,0.760000,0.300000,0.710660,0.290000,0.360849,0.250000,0.432461
139,,0.691284,0.000000,0.598068,0.760000,0.300000,0.716541,0.290000,0.360849,0.166667,0.284318
140,,0.691284,0.000000,0.075857,0.760000,0.300000,0.719629,0.290000,0.455340,0.166667,0.140165
141,,1.000000,0.000000,0.076451,0.800000,0.300000,0.826349,0.600000,0.360849,0.166667,0.331538
142,,0.872303,0.000000,0.622254,0.800000,0.300000,0.755585,0.370000,0.360849,0.166667,0.403640
143,,0.000000,0.000000,0.092033,0.720000,0.300000,0.714839,0.570000,0.000000,0.000000,0.000000
144,,0.000000,0.000000,0.070000,0.800000,0.300000,0.571906,0.000000,0.683011,0.500000,0.481077
145,,0.872303,0.480000,0.723910,0.820000,0.300000,0.728517,0.640000,0.683011,0.416667,0.598355
146,,0.691284,0.000000,0.715381,0.720000,0.300000,0.716363,0.560000,0.227670,0.000000,0.000000
147,,0.872303,0.000000,0.717224,0.760000,0.300000,0.727236,0.600000,0.756304,0.583333,0.555173
148,,0.691284,0.000000,0.715357,0.720000,0.300000,0.716466,0.560000,0.227670,0.000000,0.000000
149,,0.691284,0.840000,0.612016,0.960000,0.300000,0.748662,0.570000,0.866821,0.666667,0.786936
150,,0.691284,0.000000,0.715442,0.720000,0.300000,0.716097,0.560000,0.000000,0.000000,0.000000
151,,0.872303,0.480000,0.706605,0.780000,0.300000,0.751596,0.680000,0.360849,0.250000,0.140165
152,,0.000000,0.000000,0.073585,0.760000,0.300000,0.752205,0.290000,0.528634,0.500000,0.598355
153,,0.000000,0.000000,0.700000,0.760000,0.300000,0.736501,0.000000,0.227670,0.083333,0.000000
154,,0.691284,0.000000,0.718183,0.720000,0.300000,0.717355,0.560000,0.000000,0.000000,0.000000
155,,0.806006,0.000000,0.074171,0.480000,0.300000,0.841965,0.290000,0.000000,0.000000,0.000000
156,,0.000000,0.330000,0.205489,0.820000,0.300000,0.690877,0.750000,0.360849,0.250000,0.403640
157,,0.436151,0.000000,0.079441,0.800000,0.300000,0.733944,0.000000,0.000000,0.000000,0.000000
158,,1.000000,0.000000,0.123925,0.800000,0.300000,0.645211,0.290000,0.360849,0.083333,0.223984
159,,0.000000,0.330000,0.245402,0.820000,0.300000,0.682049,0.290000,0.639151,0.500000,0.501970
160,,0.806006,0.000000,0.465700,0.800000,0.300000,0.629285,0.000000,0.756304,0.416667,0.656245
161,,1.000000,0.000000,0.107883,0.800000,0.300000,0.708867,0.000000,0.000000,0.000000,0.000000
162,,0.000000,0.330000,0.144133,0.820000,0.300000,0.741126,0.000000,0.360849,0.166667,0.223984
163,,0.000000,0.000000,0.075176,0.800000,0.300000,0.727831,0.000000,0.360849,0.250000,0.521067
164,,1.000000,0.000000,0.101683,0.800000,0.300000,0.707410,0.290000,0.000000,0.000000,0.000000
165,,0.000000,0.330000,0.091459,0.820000,0.300000,0.817449,0.000000,0.000000,0.000000,0.000000
166,,0.000000,0.000000,0.074923,0.800000,0.300000,0.731155,0.000000,0.455340,0.166667,0.570481
167,,1.000000,0.000000,0.107880,0.800000,0.300000,0.708873,0.290000,0.000000,0.000000,0.000000
168,,1.000000,0.000000,0.476619,0.800000,0.300000,0.762699,0.370000,0.455340,0.250000,0.284318
169,,0.000000,0.000000,0.070000,0.800000,0.300000,0.734632,0.000000,0.000000,0.083333,0.140165
170,,0.000000,0.330000,0.076389,0.820000,0.300000,0.759852,0.000000,0.360849,0.000000,0.140165
171,,0.000000,0.330000,0.070000,0.500000,0.300000,0.869269,0.000000,0.000000,0.000000,0.000000
172,,0.000000,0.330000,0.092627,0.820000,0.300000,0.797551,0.450000,0.000000,0.000000,0.000000
173,,1.000000,0.000000,0.444361,0.800000,0.300000,0.749254,0.330000,0.227670,0.083333,0.223984
174,,0.000000,0.330000,0.079452,0.820000,0.300000,0.733862,0.000000,0.000000,0.000000,0.000000
175,,0.000000,0.000000,0.089015,0.800000,0.300000,0.818941,0.450000,0.000000,0.000000,0.000000
176,,0.000000,0.000000,0.074610,0.800000,0.300000,0.735510,0.000000,0.756304,0.500000,0.780952
177,,0.000000,0.330000,0.082099,0.820000,0.300000,0.717477,0.000000,0.227670,0.000000,0.140165
178,,1.000000,0.000000,0.569732,0.800000,0.300000,0.726064,0.410000,0.360849,0.083333,0.284318
179,,0.000000,0.000000,0.075045,0.800000,0.300000,0.756439,0.000000,0.000000,0.000000,0.000000
180,,0.000000,0.330000,0.079699,0.820000,0.300000,0.732156,0.000000,0.000000,0.000000,0.000000
181,,0.691284,0.330000,0.525532,0.820000,0.300000,0.726551,0.570000,0.588519,0.083333,0.331538
182,,0.000000,0.000000,0.072654,0.800000,0.300000,0.726153,0.000000,0.721698,0.666667,0.993717
183,,0.000000,0.330000,0.080437,0.540000,0.300000,0.727287,0.000000,0.360849,0.083333,0.223984
184,,0.000000,0.330000,0.079954,0.540000,0.300000,0.730429,0.000000,0.360849,0.250000,0.331538
