from,to,weight
IncFII,MdtE,1
IncFII,GadX,1
IncFIC(FII),HERA-3,1
IncQ1,LinG,1
IncX1,Tet(C),1
IncFIB(AP001918),MdtE,1
IncFIB(AP001918),MdtF,1
IncI1,mcr,1
IncFII,Ugd,1
IncI1,FosA3,1
IncFII(pSE11),CMY,1
IncB/O/K/Z,HERA-3,1
IncX1,NDM,1
IncX1,BRP(MBL),1
IncFIA,VIM,1
IncFIA,Escherichia coli emrE,1
IncFIC(FII),CMY,1
IncFIB(K),EvgA,1
IncFIB(K),LinG,1
IncX4,MdtM,1
IncQ1,Cml,1
IncQ1,Tet(M),1
IncFII,EreA2,1
IncFII,Arr,1
IncFIC(FII),Tet(D),1
IncB/O/K/Z,SAT-2,1
IncI1,BRP(MBL),1
Col(MG828),AAC/APH,1
IncR,Mef,1
IncFIA,MsrE,1
IncX1,SHV,1
Col156,MdtM,1
IncFIB(AP001918),OXA,1
IncFIC(FII),MdtP,1
IncI1,MarA,1
IncFIC(FII),mcr,1
IncX4,FosA7.5,1
IncFII,Mef,1
IncFII,FosA3,1
IncX1,LAP-2,1
IncFIB(K),FosA3,1
IncFII(pSE11),Escherichia coli emrE,1
IncQ1,Arr,1
IncX4,Tet(A),1
IncFII(pCoo),DHA,1
IncX1,BLMT,1
IncFIB(K),SAT-2,1
IncFIB(AP001918),Mef,1
IncFIB(AP001918),QepA4,1
IncFIA,CMY,1
IncFIA,OXA,1
IncR,FosA3,1
IncFIB(AP001918),MdtM,1
IncQ1,BEL-3,1
IncFIB(K),OqxA,1
IncR,MsrE,1
IncFII(K),EreA2,1
Col440I,Mrx,1
IncFII(K),VIM,1
IncFII,BRP(MBL),1
IncFIB(K),Arr,1
ColRNAI,Arr,1
Col156,Qnr,1
IncX1,FosA4,1
IncR,DHA,1
IncFII(K),Erm,1
IncFII(K),ArmA,1
IncFII(K),MsrE,1
IncFII(pSE11),OXA,1
IncX4,RmtF,1
IncFIB(K),Tet(D),1
IncX4,KPC,1
IncFII(K),RmtE2,1
Col440I,SHV,1
IncFIA,FosA3,1
IncR,RmtB,1
IncFIB(K),KPC,1
ColRNAI,SHV,1
IncR,VEB-6,1
IncR,VEB-1b,1
IncR,VEB-1,1
IncR,VEB-7,1
IncR,IMP,1
Col440I,MsrE,1
Col440I,ArmA,1
IncQ1,IMP,1
IncQ1,RmtG,1
IncI1,EreA,1
IncI1,RamA,1
IncFIC(FII),LAP-2,1
IncFII,MdtK,1
IncX1,KPC,1
IncI1,RmtE,1
Col440I,MarA,1
IncQ1,MsrE,1
IncFIA,TetR,1
IncI1,RmtB,1
IncX1,AcrB,1
IncX1,Escherichia coli acrA,1
Col440I,mcr,1
IncI1,Escherichia coli emrE,1
Col156,Escherichia coli ampC beta-lactamase,1
rep7a,MsrA,1
rep16/rep19,FexB,1
rep7a,FosD,1
rep7a,FusC,1
